"STATION","NAME","DATE","PRCP","SNOW"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-01","0.11",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-02","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-03","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-04","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-05","0.52",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-06","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-07","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-08","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-09","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-10","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-11","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-12","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-13","0.53",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-14","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-15","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-16","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-17","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-19","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-20","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-21","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-22","0.34",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-23","0.08",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-24","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-25","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-26","0.29",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-27","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-28","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-29","0.01",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-30","0.00",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-01-31","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-01","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-02","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-03","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-04","0.34",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-05","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-06","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-07","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-08","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-09","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-10","0.01",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-11","0.88",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-12","0.52",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-13","0.01",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-14","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-15","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-16","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-17","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-18","0.07",
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-19","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-20","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-21","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-22","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-23","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-24","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-25","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-26","0.00","0.0"
"US1FLAL0026","GAINESVILLE 1.7 SE, FL US","2023-02-27","0.00","0.0"
